Financial  Year,Payee_Name,Part_Postcode,Town,Parliamentary Constituency,County Council,Scheme,scheme detail,activity level,Amount
21/22,Denise Underwood,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,13242
21/22,Denise Underwood,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,11185
21/22,Denise Underwood,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,2374
21/22,Denise Underwood,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,5578
21/22,Denise Underwood,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,29927
21/22,Denise Underwood,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,15606
21/22,Denise Underwood,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,26995
21/22,Devyn Weiss,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,5350
21/22,Devyn Weiss,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,4051
21/22,Devyn Weiss,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,7333
21/22,Devyn Weiss,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,28729
21/22,Devyn Weiss,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,13139
21/22,Devyn Weiss,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,On farm woodland,Low,26206
21/22,Devyn Weiss,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,15691
21/22,Devyn Weiss,DY3, Dudley,   Dudley North , None,Farming Equipment and Technology Fund,,N/a,27371
21/22,Devyn Weiss,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,On farm woodland,Medium,7616
21/22,Donald Arias,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,4237
21/22,Donald Arias,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,31641
21/22,Donald Arias,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Hedgerow,Medium,26782
21/22,Donald Arias,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,3677
21/22,Drake Diaz,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,33594
21/22,Drake Diaz,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,26913
21/22,Drake Diaz,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,19415
21/22,Eddie Dunn,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,18740
21/22,Eddie Dunn,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,2646
21/22,Eduardo Franklin,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,23867
21/22,Efrain Shaw,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,On farm woodland,Low,10743
21/22,Efrain Shaw,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,6168
21/22,Efrain Shaw,CW11, Sandbach , Congleton , None,Farming Equipment and Technology Fund,,N/a,17178
21/22,Efrain Shaw,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland,High,18017
21/22,Efrain Shaw,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,25135
21/22,Eileen Gomez,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,On farm woodland,High,14622
21/22,Eileen Gomez,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,13357
21/22,Eileen Gomez,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,3133
21/22,Eileen Gomez,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,17433
21/22,Eileen Gomez,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,33381
21/22,Eileen Gomez,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,14187
21/22,Eileen Gomez,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,27769
21/22,Eileen Mcdaniel,EX17, Washford Pyne , Central Devon , Devon,Farming Equipment and Technology Fund,,N/a,1612
21/22,Eileen Mcdaniel,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,10000
21/22,Eileen Mcdaniel,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,26812
21/22,Eileen Mcdaniel,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,25353
21/22,Eileen Mcdaniel,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,18839
21/22,Eileen Mcdaniel,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,24797
21/22,Eileen Mcdaniel,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Low and no input Grassland,High,17203
21/22,Eliana Wood,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,29321
21/22,Eliana Wood,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,4976
21/22,Eliana Wood,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Farming Equipment and Technology Fund,,N/a,31639
21/22,Eliana Wood,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,17627
21/22,Eliana Wood,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,7715
21/22,Eliana Wood,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Hedgerow,High,6779
21/22,Eliana Wood,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,12469
21/22,Eliana Wood,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland,High,6286
21/22,Eliana Wood,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,25709
21/22,Eliana Wood,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,13483
21/22,Eliana Wood,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,6231
21/22,Elisa Gilmore,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,29585
21/22,Elisa Gilmore,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,High,20900
21/22,Elisa Gilmore,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Hedgerow,High,22316
21/22,Elisa Gilmore,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,6379
21/22,Elisa Gilmore,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,23187
21/22,Elisa Gilmore,DE22, Derby,   Derby North , None,Farming Equipment and Technology Fund,,N/a,10141
21/22,Elisa Gilmore,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,25872
21/22,Ella Patrick,DE22, Derby,   Derby North , None,Farming Equipment and Technology Fund,,N/a,5418
21/22,Ella Patrick,DE22, Derby,   Derby North , None,Farming Equipment and Technology Fund,,N/a,11221
21/22,Ella Patrick,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,13577
21/22,Ella Patrick,SL2, Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,5972
21/22,Ella Patrick,SL2, Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,Improved Grassland,High,27842
21/22,Ella Patrick,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland soils,High,27130
21/22,Ella Patrick,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,17007
21/22,Ella Patrick,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Low and no input Grassland,High,20922
21/22,Elliott Dickerson,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland,High,19057
21/22,Elliott Dickerson,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,4157
21/22,Elliott Dickerson,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,Low,23924
21/22,Elliott Dickerson,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland,High,19301
21/22,Elliott Dickerson,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,4386
21/22,Elliott Dickerson,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,16444
21/22,Elliott Dickerson,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,34777
21/22,Elliott Dickerson,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland,High,2302
21/22,Elliott Dickerson,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,21157
21/22,Emanuel Barrera,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Improved Grassland,High,4922
21/22,Emanuel Barrera,DG2, None , Dumfries and Galloway , None,Farming Equipment and Technology Fund,,N/a,17973
21/22,Emanuel Barrera,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,13949
21/22,Emilia Gross,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Hedgerow,Medium,23612
21/22,Emilia Gross,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,29689
21/22,Emilia Gross,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,On farm woodland,Medium,35290
21/22,Emilia Gross,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,18617
21/22,Emilia Gross,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,20366
21/22,Emilia Gross,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,26351
21/22,Emilio Nunez,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,19228
21/22,Emilio Nunez,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,30886
21/22,Emilio Nunez,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,1532
21/22,Emily Cochran,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,On farm woodland,High,17325
21/22,Emily Cochran,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,5678
21/22,Emily Cochran,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland,High,33581
21/22,Emily Cochran,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,17883
21/22,Emmy Donaldson,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,34170
21/22,Emmy Donaldson,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Hedgerow,High,22191
21/22,Emmy Donaldson,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,25412
21/22,Emmy Donaldson,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,30697
21/22,Emmy Donaldson,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,32164
21/22,Enrique Fernandez,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,30272
21/22,Enrique Fernandez,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,23708
21/22,Enrique Fernandez,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,19991
21/22,Enrique Fernandez,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,24234
21/22,Enrique Fernandez,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,11499
21/22,Ernest Vincent,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,16118
21/22,Ernest Vincent,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland,High,32248
21/22,Ernest Vincent,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland,High,10061
21/22,Ernest Vincent,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,15480
21/22,Ernest Vincent,DY3, Dudley,   Dudley North , None,Farming Equipment and Technology Fund,,N/a,23387
21/22,Famer Pam,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,5525
21/22,Famer Pam,DA1, Dartford,   Dartford , Kent,Farming Equipment and Technology Fund,,N/a,18131
21/22,Famer Pam,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Hedgerow,High,13674
21/22,Famer Pam,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,32654
21/22,Famer Pam,DA1, Dartford,   Dartford , Kent,Farming Equipment and Technology Fund,,N/a,33531
21/22,Famer Pam,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,3961
21/22,Famer Pam,CW11, Sandbach , Congleton , None,Farming Equipment and Technology Fund,,N/a,22219
21/22,Famer Pam,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Hedgerow,Low,5614
21/22,Famer Pam,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,30835
21/22,Farmer A,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,7853
21/22,Farmer A,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,20926
21/22,Farmer A,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,26046
21/22,Farmer A,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Pilot Participation Payment,,28237
21/22,Farmer Ash,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,On farm woodland,High,11876
21/22,Farmer Ash,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,27619
21/22,Farmer Ash,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,28174
21/22,Farmer Ash,SN3, Covingham , North Swindon , None,Farming Equipment and Technology Fund,,N/a,20985
21/22,Farmer Ash,SN3, Covingham , North Swindon , None,Farming Equipment and Technology Fund,,N/a,28571
21/22,Farmer Ash,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Hedgerow,High,27935
21/22,Farmer B,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Pilot Participation Payment,,35688
21/22,Farmer B,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,35158
21/22,Farmer B,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,4656
21/22,Farmer C,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Pilot Participation Payment,,6352
21/22,Farmer C,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,20950
21/22,Farmer C,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Low and no input Grassland,High,24303
21/22,Farmer C,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,On farm woodland,Medium,10069
21/22,Farmer D,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Pilot Participation Payment,,13959
21/22,Farmer D,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Improved Grassland soils,High,13238
21/22,Farmer E,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Pilot Participation Payment,,26731
21/22,Farmer E,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,On farm woodland,High,15460
21/22,Farmer F,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Pilot Participation Payment,,16833
21/22,Farmer F,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,25979
21/22,Farmer F,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Farming Equipment and Technology Fund,,N/a,16907
21/22,Farmer G,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Pilot Participation Payment,,8500
21/22,Farmer G,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Waterbody Buffering,Low,26660
21/22,Farmer G,L37, Formby , Sefton Central , None,Farming Equipment and Technology Fund,,N/a,1569
21/22,Farmer Gavin,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,High,20466
21/22,Farmer Gavin,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,27077
21/22,Farmer Gavin,L37, Formby , Sefton Central , None,Farming Equipment and Technology Fund,,N/a,7377
21/22,Farmer Gavin,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,30644
21/22,Farmer Gavin,L37, Formby , Sefton Central , None,Farming Equipment and Technology Fund,,N/a,5717
21/22,Farmer Gavin,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,High,10678
21/22,Farmer H,L37, Formby , Sefton Central , None,Farming Equipment and Technology Fund,,N/a,34519
21/22,Farmer H,L37, Formby , Sefton Central , None,Farming Equipment and Technology Fund,,N/a,2702
21/22,Farmer I,L37, Formby , Sefton Central , None,Farming Equipment and Technology Fund,,N/a,25633
21/22,Farmer J,DE22, Derby,   Derby North , None,Farming Equipment and Technology Fund,,N/a,13661
21/22,Farmer John,DE22, Derby,   Derby North , None,Farming Equipment and Technology Fund,,N/a,29240
21/22,Farmer John,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,22104
21/22,Farmer John,DE22, Derby,   Derby North , None,Farming Equipment and Technology Fund,,N/a,22398
21/22,Farmer John,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,25772
21/22,Farmer John,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,31048
21/22,Farmer John,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,1968
21/22,Farmer John,SL2, Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,7968
21/22,Farmer K,SL2, Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,19109
21/22,Farmer K,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,20207
21/22,Farmer K,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,10200
21/22,Farmer K,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,31480
21/22,Farmer Kate,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Low and no input Grassland,High,2628
21/22,Farmer Kate,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,Medium,29421
21/22,Farmer Kate,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland,Low,31964
21/22,Farmer Kate,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland soils,High,29030
21/22,Farmer Kate,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,17567
21/22,Farmer Kate,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,6693
21/22,Farmer Ken,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,21730
21/22,Farmer Ken,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,3619
21/22,Farmer Ken,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,9506
21/22,Farmer Ken,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,On farm woodland,High,3480
21/22,Farmer Ken,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,12441
21/22,Farmer Ken,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,25770
21/22,Farmer Kevin,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Farming Equipment and Technology Fund,,N/a,2333
21/22,Farmer L,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,10672
21/22,Farmer L,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Improved Grassland,Low,35360
21/22,Farmer L,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,On farm woodland,Low,11479
21/22,Farmer M,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Low and no input Grassland,High,25628
21/22,Farmer M,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,On farm woodland,High,16844
21/22,Farmer M,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,27429
21/22,Farmer M,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,26420
21/22,Farmer Michael,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,On farm woodland,Medium,7117
21/22,Farmer Michael,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,15683
21/22,Farmer Michael,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,7333
21/22,Farmer Michael,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,1794
21/22,Farmer Michael,EC1R , Islington,   Islington South and Finsbury , None,Farming Equipment and Technology Fund,,N/a,30996
21/22,Farmer Michael,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland,High,30892
21/22,Farmer Michael,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,17817
21/22,Farmer Michael,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,30820
21/22,Farmer Michael,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,On farm woodland,High,21211
21/22,Farmer Michael,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,19763
21/22,Farmer Mika,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,29532
21/22,Farmer Mika,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Hedgerow,High,11884
21/22,Farmer Mika,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,14077
21/22,Farmer Mika,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,30075
21/22,Farmer Mika,S72, Barnsley,   Barnsley East , None,Farming Equipment and Technology Fund,,N/a,35423
21/22,Farmer Morgan,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,21220
21/22,Farmer Morgan,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,10984
21/22,Farmer Morgan,DY3, Dudley,   Dudley North , None,Farming Equipment and Technology Fund,,N/a,8410
21/22,Farmer Morgan,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,29149
21/22,Farmer Morgan,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Hedgerow,Low,29378
21/22,Farmer Morgan,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,35057
21/22,Farmer N,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Hedgerow,Medium,20781
21/22,Farmer N,DA1, Dartford,   Dartford , Kent,Farming Equipment and Technology Fund,,N/a,23822
21/22,Farmer O,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,24753
21/22,Farmer O,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,On farm woodland,Medium,21824
21/22,Farmer P,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Hedgerow,High,26185
21/22,Farmer P,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,17861
21/22,Farmer P,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,16773
21/22,Farmer Q,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,34669
21/22,Farmer Q,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,33660
21/22,Farmer Q,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,3931
21/22,Farmer R,CW11, Sandbach , Congleton , None,Farming Equipment and Technology Fund,,N/a,23542
